link_stats_id, link_id, timestamp, PacketsReceived, PacketsSent, BytesReceived, BytesSent, PacketsRxDropped, PacketsTxDropped, PacketsRxErrors, PacketsTxErrors
of:0000000000000013_2_2024-08-05 14:10:42,of:0000000000000013_2,2024-08-05 14:10:42,7088081.0,7962105.0,688936532.0,795214728.0,0.0,0.0,0.0,0.0
of:0000000000000013_3_2024-08-05 14:10:42,of:0000000000000013_3,2024-08-05 14:10:42,1415057.0,2300959.0,134262490.0,258094970.0,0.0,0.0,0.0,0.0
of:0000000000000018_1_2024-08-05 14:10:42,of:0000000000000018_1,2024-08-05 14:10:42,3716600.0,3714462.0,391500534.0,392281988.0,0.0,0.0,0.0,0.0
of:0000000000000018_2_2024-08-05 14:10:42,of:0000000000000018_2,2024-08-05 14:10:42,1415747.0,2301271.0,134305134.0,258111854.0,0.0,0.0,0.0,0.0
of:0000000000000018_3_2024-08-05 14:10:42,of:0000000000000018_3,2024-08-05 14:10:42,1415300.0,2300846.0,134269364.0,258077680.0,0.0,0.0,0.0,0.0
of:0000000000000019_1_2024-08-05 14:10:42,of:0000000000000019_1,2024-08-05 14:10:42,3728783.0,3726628.0,409085604.0,409865030.0,0.0,0.0,0.0,0.0
of:0000000000000019_2_2024-08-05 14:10:42,of:0000000000000019_2,2024-08-05 14:10:42,1427651.0,2301348.0,151869551.0,258122544.0,0.0,0.0,0.0,0.0
of:0000000000000019_3_2024-08-05 14:10:42,of:0000000000000019_3,2024-08-05 14:10:42,1415586.0,2312974.0,134289081.0,275652732.0,0.0,0.0,0.0,0.0
of:0000000000000016_1_2024-08-05 14:10:42,of:0000000000000016_1,2024-08-05 14:10:42,3716884.0,3714789.0,391532592.0,392316526.0,0.0,0.0,0.0,0.0
of:0000000000000016_2_2024-08-05 14:10:42,of:0000000000000016_2,2024-08-05 14:10:42,1415960.0,2301968.0,134331048.0,258171984.0,0.0,0.0,0.0,0.0
of:0000000000000016_3_2024-08-05 14:10:42,of:0000000000000016_3,2024-08-05 14:10:42,1415385.0,2301441.0,134274838.0,258118014.0,0.0,0.0,0.0,0.0
of:0000000000000017_1_2024-08-05 14:10:42,of:0000000000000017_1,2024-08-05 14:10:42,3717303.0,3715209.0,391548398.0,392334530.0,0.0,0.0,0.0,0.0
of:0000000000000017_2_2024-08-05 14:10:42,of:0000000000000017_2,2024-08-05 14:10:42,1416232.0,2302242.0,134343116.0,258182064.0,0.0,0.0,0.0,0.0
of:0000000000000017_3_2024-08-05 14:10:42,of:0000000000000017_3,2024-08-05 14:10:42,1415531.0,2301584.0,134280634.0,258123600.0,0.0,0.0,0.0,0.0
of:000000000000001a_1_2024-08-05 14:10:42,of:000000000000001a_1,2024-08-05 14:10:42,3716031.0,3713922.0,391478258.0,392259952.0,0.0,0.0,0.0,0.0
of:000000000000001a_2_2024-08-05 14:10:42,of:000000000000001a_2,2024-08-05 14:10:42,1415359.0,2301398.0,134287298.0,258131944.0,0.0,0.0,0.0,0.0
of:000000000000001a_3_2024-08-05 14:10:42,of:000000000000001a_3,2024-08-05 14:10:42,1415116.0,2301197.0,134261860.0,258107598.0,0.0,0.0,0.0,0.0
of:000000000000001d_1_2024-08-05 14:10:42,of:000000000000001d_1,2024-08-05 14:10:42,3716334.0,3714193.0,391489304.0,392270382.0,0.0,0.0,0.0,0.0
of:000000000000001d_2_2024-08-05 14:10:42,of:000000000000001d_2,2024-08-05 14:10:42,1415371.0,2301442.0,134287942.0,258132700.0,0.0,0.0,0.0,0.0
of:000000000000001d_3_2024-08-05 14:10:42,of:000000000000001d_3,2024-08-05 14:10:42,1415378.0,2301456.0,134271800.0,258117832.0,0.0,0.0,0.0,0.0
of:000000000000001e_1_2024-08-05 14:10:42,of:000000000000001e_1,2024-08-05 14:10:42,3727818.0,3726608.0,409044188.0,411176094.0,0.0,0.0,0.0,0.0
of:000000000000001e_2_2024-08-05 14:10:42,of:000000000000001e_2,2024-08-05 14:10:42,1427792.0,2301108.0,153186248.0,258126426.0,0.0,0.0,0.0,0.0
of:000000000000001e_3_2024-08-05 14:10:42,of:000000000000001e_3,2024-08-05 14:10:42,1415371.0,2313276.0,134279136.0,275679130.0,0.0,0.0,0.0,0.0
of:000000000000001b_1_2024-08-05 14:10:42,of:000000000000001b_1,2024-08-05 14:10:42,3716042.0,3713932.0,391477936.0,392258580.0,0.0,0.0,0.0,0.0
of:000000000000001b_2_2024-08-05 14:10:42,of:000000000000001b_2,2024-08-05 14:10:42,1415316.0,2301350.0,134285072.0,258129228.0,0.0,0.0,0.0,0.0
of:000000000000001b_3_2024-08-05 14:10:42,of:000000000000001b_3,2024-08-05 14:10:42,1415169.0,2301251.0,134262798.0,258109306.0,0.0,0.0,0.0,0.0
of:000000000000001c_1_2024-08-05 14:10:42,of:000000000000001c_1,2024-08-05 14:10:42,3716031.0,3713914.0,391476690.0,392257740.0,0.0,0.0,0.0,0.0
of:000000000000001c_2_2024-08-05 14:10:42,of:000000000000001c_2,2024-08-05 14:10:42,1415180.0,2301220.0,134278912.0,258123460.0,0.0,0.0,0.0,0.0
