timestamp,device,temperature
2024-10-02 14:24:09,of:0000000000000001,
2024-10-02 14:24:09,of:0000000000000002,
2024-10-02 14:24:09,of:0000000000000003,
2024-10-02 14:24:09,of:0000000000000004,
2024-10-02 14:24:09,of:0000000000000005,41.32449310124271
2024-10-02 14:24:09,of:0000000000000006,39.15887019102598
2024-10-02 14:24:09,of:0000000000000007,38.965657187930006
2024-10-02 14:24:09,of:0000000000000008,36.85386152229535
2024-10-02 14:24:09,of:0000000000000009,18.901461212697814
2024-10-02 14:24:09,of:000000000000000a,18.756352234369647
2024-10-02 14:24:09,of:000000000000000b,18.94101663065448
2024-10-02 14:24:09,of:000000000000000c,18.95565068638203
2024-10-02 14:24:09,of:000000000000000d,18.97296523746562
2024-10-02 14:24:09,of:000000000000000e,16.248350376784508
2024-10-02 14:24:09,of:000000000000000f,18.80003706409101
2024-10-02 14:24:09,of:0000000000000010,16.334053782357262
2024-10-02 14:24:09,of:0000000000000011,18.832565237465623
2024-10-02 14:24:09,of:0000000000000012,16.347166475855715
2024-10-02 14:24:09,of:0000000000000013,18.9601423272489
2024-10-02 14:24:09,of:0000000000000014,16.331952853564694
2024-10-02 14:24:09,of:0000000000000015,18.94804387523652
2024-10-02 14:24:09,of:0000000000000016,19.0504822653294
2024-10-02 14:24:09,of:0000000000000017,18.929859974307725
2024-10-02 14:24:09,of:0000000000000018,19.057147280809275
2024-10-02 14:24:09,of:0000000000000019,18.885812915484195
2024-10-02 14:24:09,of:000000000000001a,18.91515347275974
2024-10-02 14:24:09,of:000000000000001b,18.9111689526359
2024-10-02 14:24:09,of:000000000000001c,18.906025299385124
2024-10-02 14:24:09,of:000000000000001d,18.862485361304632
2024-10-02 14:24:09,of:000000000000001e,18.94558071734178
2024-10-02 14:24:09,of:000000000000001f,18.900446971211757
2024-10-02 14:24:09,of:0000000000000020,18.952173287001223
2024-10-02 14:24:09,of:0000000000000021,18.905590624462526
2024-10-02 14:24:09,of:0000000000000022,18.882190624462527
2024-10-02 14:24:09,of:0000000000000023,18.873062451087915
2024-10-02 14:24:09,of:0000000000000024,18.921746042419183
2024-10-02 14:24:09,of:0000000000000025,19.045555949539924
2024-10-02 14:24:09,of:0000000000000026,18.936959664710205
2024-10-02 14:24:09,of:0000000000000027,18.79909526842537
2024-10-02 14:24:09,of:0000000000000028,18.920804246753544
2024-10-02 14:24:19,of:0000000000000001,17.546362544976
2024-10-02 14:24:19,of:0000000000000002,17.546362544976
2024-10-02 14:24:19,of:0000000000000003,17.546362544976
2024-10-02 14:24:19,of:0000000000000004,17.546362544976
2024-10-02 14:24:19,of:0000000000000005,42.538902792654014
2024-10-02 14:24:19,of:0000000000000006,40.3732798824373
2024-10-02 14:24:19,of:0000000000000007,40.180066879341325
2024-10-02 14:24:19,of:0000000000000008,38.06827121370665
2024-10-02 14:24:19,of:0000000000000009,20.115870904109123
2024-10-02 14:24:19,of:000000000000000a,19.97076192578095
2024-10-02 14:24:19,of:000000000000000b,20.15542632206578
2024-10-02 14:24:19,of:000000000000000c,20.17006037779333
2024-10-02 14:24:19,of:000000000000000d,20.187374928876924
2024-10-02 14:24:19,of:000000000000000e,17.462760068195813
2024-10-02 14:24:19,of:000000000000000f,20.014446755502316
2024-10-02 14:24:19,of:0000000000000010,17.548463473768567
2024-10-02 14:24:19,of:0000000000000011,20.046974928876928
2024-10-02 14:24:19,of:0000000000000012,17.561576167267017
2024-10-02 14:24:19,of:0000000000000013,20.174552018660204
2024-10-02 14:24:19,of:0000000000000014,17.546362544976
2024-10-02 14:24:19,of:0000000000000015,20.162453566647823
2024-10-02 14:24:19,of:0000000000000016,20.264891956740698
2024-10-02 14:24:19,of:0000000000000017,20.14426966571903
2024-10-02 14:24:19,of:0000000000000018,20.27155697222058
2024-10-02 14:24:19,of:0000000000000019,20.1002226068955
2024-10-02 14:24:19,of:000000000000001a,20.12956316417105
2024-10-02 14:24:19,of:000000000000001b,20.12557864404721
2024-10-02 14:24:19,of:000000000000001c,20.12043499079643
2024-10-02 14:24:19,of:000000000000001d,20.076895052715937
2024-10-02 14:24:19,of:000000000000001e,20.159990408753085
2024-10-02 14:24:19,of:000000000000001f,20.11485666262305
2024-10-02 14:24:19,of:0000000000000020,20.166582978412528
2024-10-02 14:24:19,of:0000000000000021,20.12000031587383
2024-10-02 14:24:19,of:0000000000000022,20.09660031587383
2024-10-02 14:24:19,of:0000000000000023,20.08747214249922
2024-10-02 14:24:19,of:0000000000000024,20.13615573383049
2024-10-02 14:24:19,of:0000000000000025,20.25996564095123
2024-10-02 14:24:19,of:0000000000000026,20.151369356121503
2024-10-02 14:24:19,of:0000000000000027,20.01350495983668
2024-10-02 14:24:19,of:0000000000000028,20.13521393816485
2024-10-02 14:24:29,of:0000000000000001,22.363721668972897
2024-10-02 14:24:29,of:0000000000000002,22.363721668972897
2024-10-02 14:24:29,of:0000000000000003,22.363721668972897
2024-10-02 14:24:29,of:0000000000000004,22.363721668972897
2024-10-02 14:24:29,of:0000000000000005,44.637732504886216
2024-10-02 14:24:29,of:0000000000000006,42.47210959466949
2024-10-02 14:24:29,of:0000000000000007,42.27889659157351
2024-10-02 14:24:29,of:0000000000000008,40.16710092593885
2024-10-02 14:24:29,of:0000000000000009,22.21470061634132
2024-10-02 14:24:29,of:000000000000000a,22.069591638013147
