id,mac,vlan,innerVlan,outerTpid,configured,ipAddresses,locations
E6:63:BC:8D:F0:97/None,E6:63:BC:8D:F0:97,None,None,unknown,False,['10.0.1.40'],"[{'elementId': 'of:000000000000000c', 'port': '3'}]"
F2:33:E3:A3:AA:A0/None,F2:33:E3:A3:AA:A0,None,None,unknown,False,['10.0.1.32'],"[{'elementId': 'of:000000000000000a', 'port': '3'}]"
62:91:09:33:42:56/None,62:91:09:33:42:56,None,None,unknown,False,['10.0.1.73'],"[{'elementId': 'of:0000000000000018', 'port': '3'}]"
6E:D2:0F:A9:3B:95/None,6E:D2:0F:A9:3B:95,None,None,unknown,False,['10.0.1.34'],"[{'elementId': 'of:000000000000000d', 'port': '3'}]"
62:47:2D:B5:4F:E8/None,62:47:2D:B5:4F:E8,None,None,unknown,False,['10.0.1.20'],"[{'elementId': 'of:000000000000000e', 'port': '2'}]"
0E:CB:5E:46:B7:E9/None,0E:CB:5E:46:B7:E9,None,None,unknown,False,['10.0.1.84'],"[{'elementId': 'of:0000000000000023', 'port': '3'}]"
42:80:23:53:79:6A/None,42:80:23:53:79:6A,None,None,unknown,False,['10.0.1.85'],"[{'elementId': 'of:0000000000000024', 'port': '3'}]"
C2:A0:1F:D9:24:2D/None,C2:A0:1F:D9:24:2D,None,None,unknown,False,['10.0.1.67'],"[{'elementId': 'of:0000000000000026', 'port': '2'}]"
16:D7:71:A4:00:69/None,16:D7:71:A4:00:69,None,None,unknown,False,['10.0.1.44'],"[{'elementId': 'of:0000000000000013', 'port': '3'}]"
C2:D2:AD:F8:8F:E5/None,C2:D2:AD:F8:8F:E5,None,None,unknown,False,['10.0.1.23'],"[{'elementId': 'of:0000000000000011', 'port': '2'}]"
7E:A4:57:4D:B6:B0/None,7E:A4:57:4D:B6:B0,None,None,unknown,False,['10.0.1.86'],"[{'elementId': 'of:0000000000000025', 'port': '3'}]"
32:DE:6F:46:D5:31/None,32:DE:6F:46:D5:31,None,None,unknown,False,['10.0.1.74'],"[{'elementId': 'of:0000000000000019', 'port': '3'}]"
EE:84:7E:2D:3E:77/None,EE:84:7E:2D:3E:77,None,None,unknown,False,['10.0.1.10'],"[{'elementId': 'of:0000000000000009', 'port': '2'}]"
2E:E3:B0:A8:D7:CC/None,2E:E3:B0:A8:D7:CC,None,None,unknown,False,['10.0.1.64'],"[{'elementId': 'of:0000000000000023', 'port': '2'}]"
36:C8:62:F1:1E:23/None,36:C8:62:F1:1E:23,None,None,unknown,False,['10.0.1.81'],"[{'elementId': 'of:0000000000000020', 'port': '3'}]"
EE:52:9D:74:5F:2E/None,EE:52:9D:74:5F:2E,None,None,unknown,False,['10.0.1.33'],"[{'elementId': 'of:0000000000000009', 'port': '3'}]"
86:68:8E:BA:19:1C/None,86:68:8E:BA:19:1C,None,None,unknown,False,['10.0.1.71'],"[{'elementId': 'of:0000000000000016', 'port': '3'}]"
0A:F3:D4:DD:7A:46/None,0A:F3:D4:DD:7A:46,None,None,unknown,False,['10.0.1.89'],"[{'elementId': 'of:0000000000000028', 'port': '3'}]"
C6:7E:3A:75:14:E0/None,C6:7E:3A:75:14:E0,None,None,unknown,False,['10.0.1.14'],"[{'elementId': 'of:000000000000000d', 'port': '2'}]"
3E:32:34:99:75:C7/None,3E:32:34:99:75:C7,None,None,unknown,False,['10.0.1.69'],"[{'elementId': 'of:0000000000000028', 'port': '2'}]"
C2:44:23:7D:56:6D/None,C2:44:23:7D:56:6D,None,None,unknown,False,['10.0.1.56'],"[{'elementId': 'of:000000000000001b', 'port': '2'}]"
A2:2F:85:E2:76:27/None,A2:2F:85:E2:76:27,None,None,unknown,False,['10.0.1.62'],"[{'elementId': 'of:0000000000000021', 'port': '2'}]"
